;date;avg_ticket_amount_a;num_customers_a;num_transactions_a;total_sales_a
;06 Jun 2019;10.89;15;17;185.1
;07 Jun 2019;13.22;13;18;237.9
;08 Jun 2019;13.72;17;19;260.7
;09 Jun 2019;5.3;1;1;5.3
;10 Jun 2019;14.81;22;25;370.3
;11 Jun 2019;12.81;21;21;268.9
;12 Jun 2019;11.73;15;18;211.1
;13 Jun 2019;18.34;15;18;330.2
;14 Jun 2019;9.92;19;23;228.1
;15 Jun 2019;10.93;15;17;185.9
;16 Jun 2019;3.15;2;2;6.29
;17 Jun 2019;10.85;30;41;444.8
;18 Jun 2019;16.78;22;24;402.7
;19 Jun 2019;12.51;16;20;250.2
;20 Jun 2019;7.09;14;17;120.5
;21 Jun 2019;14.97;20;25;374.3
;22 Jun 2019;15.93;1;1;15.93
;23 Jun 2019;9.91;27;34;337.0
;24 Jun 2019;6.04;38;44;265.8
;25 Jun 2019;13.51;20;23;310.8
;26 Jun 2019;11.79;17;19;224.0
;27 Jun 2019;17.51;14;16;280.2
;28 Jun 2019;13.25;23;27;357.9
;29 Jun 2019;0.99;1;1;0.99
;30 Jun 2019;11.76;10;12;141.1
;01 Jul 2019;14.81;30;32;474.0
;02 Jul 2019;12.28;41;60;736.6
;03 Jul 2019;6.92;19;22;152.2
;04 Jul 2019;12.42;22;25;310.6
;05 Jul 2019;24.25;17;22;533.5
;08 Jul 2019;15.98;48;63;1007
;09 Jul 2019;15.42;11;13;200.4
;10 Jul 2019;17.1;13;14;239.4
;12 Jul 2019;9.4;20;23;216.3
;13 Jul 2019;10.53;16;19;200
;14 Jul 2019;10.8;10;10;108.0
;15 Jul 2019;9.4;34;44;413.5
;16 Jul 2019;8.47;13;15;127.0
;17 Jul 2019;7.97;16;20;159.4
;18 Jul 2019;11.48;20;24;275.4
;19 Jul 2019;10.28;17;22;226.1
;21 Jul 2019;6.77;9;9;60.95
;22 Jul 2019;9.55;38;47;449.1
;23 Jul 2019;9.4;16;21;197.4
;24 Jul 2019;5.17;16;21;108.5
;25 Jul 2019;8.32;7;9;74.9
;26 Jul 2019;13.36;25;31;414.1
;28 Jul 2019;6.3;16;20;126.0
;29 Jul 2019;8.94;38;42;375.3
;30 Jul 2019;13.58;14;16;217.3
;31 Jul 2019;6.57;6;6;39.41
;01 Aug 2019;12.93;32;43;555.8
;02 Aug 2019;18.01;16;19;342.1
